Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,Student Academic Mentoring,Student Academic Mentoring,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ _____,Business Management,55
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______,Biology or Life Science,49
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______ ______/_____ _______,Professional Guidance/Entrepreneurship,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______,History,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______ _________,Moral Education,174
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______ _________,Islamic Education,135
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______ _______ ,Physical Education and Health,94
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______ _________,Music,47
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______ ________ _________,Creative Design and Innovation,73
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,__________,Earth/Space Science/Geology,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______ ________ ________ _________,CCDI,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,________ __________ ________ _______,National and Social Education,128
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_________,Mathematics,237
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,______ ________,Sports Sciences,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,______ ______,Health Sciences,41
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,______ ______(____)/______ ______ (____),Health Science/Life Skills,36
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,______ _________,Creative Arts,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,______ _______,Visual Arts,69
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,________,Physics,67
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,________,Chemistry,41
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ __________,English,238
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ _______,Arabic Language,210
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ _______ _ ________ _________,Arabic and Islamic Studies,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,________ ________,Specialized Skills,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______,Engineering,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ ____,Special Education,18
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ _______,Information Technology,87
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_______,Geography/Economics,10
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____,Drama,56
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____ _______ _______,KG English,6
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____ _______ ____,KG Arabic,106
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___ _____/___ ________,Psychology/Sociology,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____ _________,Computer Science,30
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____ ____,General Science,188
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,__ _____,Not Applied,13
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____1,Field 1,10
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____2,Field 2,11
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ ____,Learning Resources,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,______ ______,Professional Skills,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____ ________,Optional Courses,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,NULL,NULL,122
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,�______ __________,Mathematics and Science,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,Computing and Artificial Intelligence,Computing and Artificial Intelligence,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,Extra Curricular Activity,Extra Curricular Activity,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ _____,Business Management,28
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______ ____ _____,Learning Resources specialist,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______,Biology or Life Science,34
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______,History,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______ _________,Moral Education,98
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______ _________,Islamic Education,105
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______ _______ ,Physical Education and Health,58
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______ _________,Music,34
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______ ________ _________,Creative Design and Innovation,42
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,__________,Earth/Space Science/Geology,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______ ________ ________ _________,CCDI,16
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,________ __________ ________ _______,National and Social Education,68
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_________,Mathematics,152
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,______ ________,Sports Sciences,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,______ ______,Health Sciences,18
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,______ ______(____)/______ ______ (____),Health Science/Life Skills,31
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,______ _________,Creative Arts,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,______ _______,Visual Arts,34
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,________,Physics,45
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,________,Chemistry,23
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ __________,English,162
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ _______,Arabic Language,169
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ _______ _ ________ _________,Arabic and Islamic Studies,3
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ ____,Special Education,8
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ _______,Information Technology,55
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_______,Geography/Economics,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____,Drama,52
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _______ _______,KG English,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _______ ____,KG Arabic,81
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___ _____/___ ________,Psychology/Sociology,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ _________,Computer Science,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ____,General Science,121
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,__ _____,Not Applied,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____1,Field 1,37
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____2,Field 2,27
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ ____,Learning Resources,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____ ________,Optional Courses,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,NULL,NULL,143
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,�______ ______,Personal development,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,Computing and Artificial Intelligence,Computing and Artificial Intelligence,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,Extra Curricular Activity,Extra Curricular Activity,26
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,HECMA,HECMA,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ _____,Business Management,58
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ ____ _____,Learning Resources specialist,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______,Biology or Life Science,37
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ ______/_____ _______,Professional Guidance/Entrepreneurship,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______,History,12
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ _________,Moral Education,181
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ _________,Islamic Education,180
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ _______ ,Physical Education and Health,106
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ _________,Music,72
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ ________ _________,Creative Design and Innovation,87
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,__________,Earth/Space Science/Geology,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______ ________ ________ _________,CCDI,24
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,________ __________ ________ _______,National and Social Education,169
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_________,Mathematics,299
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,______ ________,Sports Sciences,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,______ ______,Health Sciences,21
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,______ ______(____)/______ ______ (____),Health Science/Life Skills,29
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,________,French Language,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,______ _________,Creative Arts,2
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,______ _______,Visual Arts,69
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,________,Physics,50
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,________,Chemistry,36
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ __________,English,237
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ _______,Arabic Language,277
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ _______ _ ________ _________,Arabic and Islamic Studies,5
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,________ ________ - ______ ________,Food Science Specialized Skills,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ ____,Special Education,18
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ _______,Information Technology,96
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_______,Geography/Economics,14
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____,Drama,152
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _______ _______,KG English,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _______ ____,KG Arabic,173
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___ _____/___ ________,Psychology/Sociology,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _________,Computer Science,19
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ____,General Science,191
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,__ _____,Not Applied,57
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____1,Field 1,97
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____2,Field 2,70
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ ____,Learning Resources,4
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ ________,Optional Courses,4
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,NULL,NULL,25
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain, _________, malayalam,2
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,�______ __________,Mathematics and Science,6
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,Extra Curricular Activity,Extra Curricular Activity,4
